a	a	['boa', 'pea', 'sea', 'tea']
del	led	['baffled', 'burgled', 'bustled', 'coupled', 'crawled', 'doubled', 'drawled', 'enabled', 'fumbled', 'handled', 'huddled', 'kindled', 'mangled', 'mingled', 'mottled', 'mumbled', 'puzzled', 'rattled', 'settled', 'snarled', 'spoiled', 'swelled', 'tangled', 'tumbled', 'waggled', 'wheeled']
rel	ler	['cobbler', 'dweller', 'gambler', 'humbler', 'meddler', 'simpler', 'smaller', 'tumbler', 'wheeler']
sel	les	['bottles', 'buckles', 'bundles', 'circles', 'couples', 'dottles', 'enables', 'muscles', 'saddles', 'settles', 'stables', 'staples', 'temples', 'trifles']
ssel	less	['bloodless', 'ceaseless', 'cheerless', 'cloudless', 'doubtless', 'fleshless', 'fruitless', 'heartless', 'noiseless', 'senseless', 'shapeless', 'sleepless', 'smokeless', 'worthless']
gnil	ling	['bicycling', 'chuckling', 'crackling', 'detailing', 'panelling', 'revealing', 'startling', 'thrilling', 'trembling', 'troubling', 'twinkling']
ll	ll	['chill', 'dwell', 'frill', 'quill', 'shall', 'skill', 'skull', 'small', 'smell', 'spell', 'stall', 'still']
dell	lled	['compelled', 'cudgelled', 'fulfilled', 'signalled', 'travelled']
yll	lly	['cruelly', 'equally', 'fatally', 'finally', 'shrilly', 'usually']
sl	ls	['balls', 'bills', 'bowls', 'calls', 'cells', 'falls', 'fills', 'fools', 'fowls', 'girls', 'heels', 'hills', 'mills', 'nails', 'rails', 'souls', 'tails', 'tells', 'tools', 'walls']
yl	ly	['amply', 'apply', 'badly', 'burly', 'curly', 'daily', 'dimly', 'dryly', 'early', 'folly', 'fully', 'imply', 'madly', 'newly', 'reply', 'sadly', 'sally', 'silly', 'surly', 'truly']
m	m	['arm', 'dim', 'gem', 'gum', 'him', 'hum', 'sum']
nam	man	['footman', 'foreman']
em	me	['blame', 'crime', 'flame', 'frame', 'grime', 'homme', 'prime']
dem	med	['ashamed', 'assumed', 'brimmed', 'groomed', 'scummed', 'slammed', 'steamed', 'trimmed', 'untamed']
tnem	ment	['amazement', 'amusement', 'apartment', 'statement', 'treatment']
n	n	['can', 'den', 'don', 'dun', 'gin', 'gun', 'inn', 'isn', 'man', 'men', 'own', 'pen', 'pin', 'ran', 'run', 'sin', 'son', 'sun', 'ten', 'tin', 'van', 'von', 'win', 'won']
ecn	nce	['absence', 'advance', 'askance', 'balance', 'defence', 'essence', 'offence', 'science', 'silence']
dn	nd	['bland', 'blend', 'blind', 'bound', 'found', 'grand', 'grind', 'hound', 'pound', 'round', 'sound', 'spend', 'stand', 'wound']
dedn	nded	['descended', 'pretended', 'resounded', 'responded', 'suspended']
sdn	nds	['depends', 'friends', 'grounds', 'seconds']
en	ne	['alone', 'atone', 'borne', 'irene', 'scene', 'shone', 'spine', 'stone', 'whine']
den	ned	['aproned', 'cleaned', 'defined', 'divined', 'drowned', 'feigned', 'grinned', 'groaned', 'learned', 'planned', 'refined', 'skinned', 'stained', 'trained', 'widened']
ssen	ness	['dizziness', 'eagerness', 'exactness', 'governess', 'happiness', 'stiffness', 'stillness', 'sweetness', 'thickness', 'vagueness', 'weariness']
gn	ng	['along', 'among', 'being', 'bring', 'clang', 'doing', 'dying', 'flung', 'going', 'lying', 'slang', 'slung', 'swing', 'swung', 'thing', 'tying', 'using', 'wrong', 'wrung', 'young']
sgn	ngs	['belongs', 'makings', 'springs', 'takings']
gnin	ning	['beckoning', 'beginning', 'buttoning', 'confining', 'examining', 'fastening', 'happening', 'hastening', 'lightning', 'listening', 'maddening', 'obtaining', 'poisoning', 'reasoning', 'remaining', 'reopening', 'returning', 'screening', 'straining', 'weakening']
kn	nk	['chink', 'clank', 'clink', 'drank', 'drink', 'drunk', 'frank', 'prank', 'slink', 'thank', 'think', 'trunk']
sn	ns	['chins', 'coins', 'loans', 'means', 'pains', 'plans', 'signs', 'towns', 'turns', 'twins', 'veins']
tn	nt	['agent', 'blunt', 'count', 'event', 'faint', 'front', 'gaunt', 'giant', 'glint', 'joint', 'meant', 'paint', 'point', 'print', 'scent', 'spent']
yltn	ntly	['currently', 'defiantly', 'evidently', 'instantly', 'presently']
stn	nts	['anoints', 'clients', 'moments', 'parents']
yn	ny	['agony', 'bonny', 'crony', 'funny', 'penny', 'shiny', 'tawny']
o	o	['ado', 'ago', 'fro', 'pro', 'too', 'two', 'who']
mo	om	['axiom', 'bosom', 'gloom', 'groom']
no	on	['demon', 'lemon', 'melon', 'simon', 'union', 'wagon']
sno	ons	['actions', 'buttons', 'persons', 'reasons', 'summons', 'verrons']
ro	or	['actor', 'error', 'floor', 'major', 'manor', 'minor', 'prior']
ruo	our	['glamour', 'saviour']
suo	ous	['anxious', 'arduous', 'curious', 'dubious', 'heinous', 'hideous', 'nervous', 'obvious', 'ominous', 'piteous', 'pompous', 'serious', 'vacuous', 'various']
wo	ow	['allow', 'below', 'elbow', 'throw', 'widow']
p	p	['cap', 'cup', 'gap', 'lap', 'lip', 'map', 'nip', 'tap', 'tip', 'top']
dep	ped	['clamped', 'clapped', 'clasped', 'dropped', 'escaped', 'flapped', 'grasped', 'plumped', 'scraped', 'slapped', 'slipped', 'snapped', 'stamped', 'stepped', 'stooped', 'stopped', 'thumped', 'tramped', 'trooped', 'wrapped']
rep	per	['sleeper', 'slipper', 'whisper']
gnip	ping	['gossiping']
sp	ps	['drops', 'helps', 'keeps', 'lamps', 'leaps', 'limps', 'ships', 'shops', 'steps']
r	r	['air', 'bar', 'ear', 'far', 'for', 'fur', 'her', 'nor', 'our', 'per', 'sir', 'war']
dr	rd	['beard', 'board', 'guard', 'heard', 'hoard', 'third', 'weird']
er	re	['aware', 'flare', 'glare', 'share', 'spare', 'stare', 'swore', 'there', 'where']
der	red	['altered', 'aspired', 'assured', 'attired', 'centred', 'charred', 'cleared', 'covered', 'desired', 'endured', 'entered', 'expired', 'figured', 'hundred', 'injured', 'lowered', 'natured', 'offered', 'ordered', 'petered', 'retired', 'secured', 'severed', 'slurred', 'sobered', 'stirred', 'ushered', 'uttered', 'watered']
gnir	ring	['answering', 'comparing', 'devouring', 'doddering', 'gathering', 'guttering', 'imploring', 'inquiring', 'inspiring', 'lingering', 'loitering', 'murdering', 'muttering', 'pestering', 'preparing', 'quavering', 'quivering', 'shivering', 'suffering', 'wandering', 'wondering']
mr	rm	['alarm', 'charm', 'storm', 'swarm']
sr	rs	['bears', 'blurs', 'doors', 'fears', 'hears', 'heirs', 'hours', 'stars', 'tears', 'wears', 'years', 'yours']
tr	rt	['alert', 'apart', 'avert', 'court', 'exert', 'heart', 'shirt', 'short', 'skirt', 'smart', 'sport', 'start']
yr	ry	['angry', 'carry', 'diary', 'dowry', 'entry', 'every', 'fiery', 'hurry', 'ivory', 'marry', 'merry', 'sorry', 'story', 'weary', 'worry']
s	s	['gas', 'has', 'his', 'its', 'was', 'yes']
es	se	['abuse', 'amuse', 'arise', 'cause', 'cease', 'chase', 'chose', 'close', 'curse', 'dense', 'false', 'geese', 'goose', 'horse', 'house', 'lapse', 'loose', 'noise', 'noose', 'nurse', 'obese', 'pause', 'purse', 'raise', 'rouse', 'sense', 'tense', 'these', 'those', 'whose', 'worse']
des	sed	['accused', 'advised', 'aroused', 'biassed', 'crossed', 'deposed', 'devised', 'dressed', 'elapsed', 'exposed', 'guessed', 'opposed', 'pleased', 'pressed', 'refused']
ses	ses	['classes', 'creases', 'deposes', 'excuses', 'glasses', 'presses', 'tresses']
hs	sh	['blush', 'brush', 'crash', 'flash', 'flesh', 'flush', 'fresh', 'harsh', 'plush', 'swash', 'swish']
dehs	shed	['burnished', 'furnished', 'refreshed']
gnis	sing	['caressing', 'promising', 'realising', 'relapsing']
nois	sion	['confusion', 'exclusion', 'excursion', 'intrusion', 'provision', 'repulsion']
yls	sly	[]
